,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
169,0.03119173,0.009238998,89,3213,12773,2251,20141,15986,22392
170,0.022562,0.009671818,104,1736,9541,53,453,11277,506
171,0.02481792,0.01722958,37,554,2768,683,3277,3322,3960
172,0.02578505,0.01514091,24,267,1284,224,1223,1551,1447
173,0.02257652,0.008875789,104,859,4718,153,1425,5577,1578
174,0.0317177,0.01337857,200,8209,32093,6898,42623,40302,49521
175,0.03351007,0.01010868,188,8671,32086,5979,48895,40757,54874
176,0.03039317,0.009113387,162,8552,34891,5458,49509,43443,54967
177,0.02654497,0.02842198,89,1935,9039,4680,13612,10974,18292
178,0.03185731,0.009768365,78,4069,15838,2667,22570,19907,25237
179,0.0324397,0.009406897,78,4636,17721,3069,26970,22357,30039
180,0.03094302,0.008408646,104,7060,28292,4199,41281,35352,45480
181,0.03234697,0.00973081,116,4905,18803,3551,30167,23708,33718
182,0.03185926,0.008816928,154,7397,28790,4565,42801,36187,47366
183,0.03117662,0.008744186,248,12224,48619,7050,66650,60843,73700
184,0.03150134,0.009474102,116,6142,24177,4201,36656,30319,40857
185,0.03406687,0.01032492,221,13238,48185,9052,72475,61423,81527
186,0.03181461,0.009769315,104,5126,19979,3488,29515,25105,33003
187,0.03214624,0.008585614,134,5602,21609,3241,31206,27211,34447
188,0.02453283,0.0190559,78,1157,5848,1325,5748,7005,7073
189,0.02255504,0.02885225,162,2568,14118,6334,18148,16686,24482
190,0.03427431,0.009710674,177,11763,42557,7248,61702,54320,68950
191,0.03313731,0.009757662,142,7818,29255,4496,38090,37073,42586
192,0.03131563,0.0097151,248,7987,31626,5445,46332,39613,51777
193,0.03041995,0.01002064,162,4969,20255,3453,28486,25224,31939
194,0.03159211,0.009121677,108,4882,19162,3096,28058,24044,31154
195,0.03227062,0.008591714,134,5270,20250,3119,30010,25520,33129
196,0.03245004,0.009522853,200,6529,24949,4036,35036,31478,39072
197,0.03301293,0.009913759,162,4055,15231,2351,19604,19286,21955
198,0.03208685,0.008684825,108,6281,24273,3564,33924,30554,37488
199,0.03150108,0.008432826,200,11206,44111,6755,66219,55317,72974
200,0.03222687,0.008977553,238,13889,53441,8686,79982,67330,88668
201,0.03284318,0.009456492,248,13765,51970,7978,69742,65735,77720
202,0.02276546,0.009538462,61,555,3023,63,546,3578,609
203,0.03194207,0.009262317,104,7222,28036,4243,37869,35258,42112
204,0.03309223,0.008399531,96,5955,22314,3123,30736,28269,33859
205,0.02460632,0.01935751,61,559,2817,536,2289,3376,2825
206,0.02738935,0.02529716,62,1062,4808,1613,5271,5870,6884
207,0.04322565,0.02072358,292,14231,40824,16842,67183,55055,84025
208,0.02466254,0.02547716,104,610,3067,1520,4932,3677,6452
209,0.02446661,0.03149206,68,455,2306,784,2058,2761,2842
210,0.02831676,0.01356516,188,1240,5430,1074,6545,6670,7619
211,0.0321397,0.01119503,134,6338,24453,4794,35400,30791,40194
212,0.03279512,0.0101504,89,5330,20153,3246,26436,25483,29682
213,0.03340368,0.008642736,142,6132,22763,3399,32511,28895,35910
214,0.03066619,0.008750148,177,9026,36497,5529,52235,45523,57764
215,0.03199854,0.008938885,89,4238,16423,2480,22935,20661,25415
216,0.03256648,0.009232362,108,5977,22758,3566,31930,28735,35496
217,0.03056449,0.009529517,104,4474,18151,3401,29503,22625,32904
218,0.03358932,0.009270717,104,5497,20293,3625,32324,25790,35949
219,0.03246786,0.009648214,62,3434,13115,2218,19004,16549,21222
220,0.03337961,0.009209405,125,5895,21899,3380,30340,27794,33720
221,0.03366238,0.009933423,78,5048,18595,3049,25374,23643,28423
222,0.0304771,0.00767976,125,6659,27093,3796,40861,33752,44657
223,0.02604868,0.02347609,154,5645,26872,9595,33787,32517,43382
224,0.02911276,0.009845521,61,887,3778,386,3241,4665,3627
225,0.02940372,0.01390817,61,548,2311,320,1902,2859,2222
226,0.03109003,0.01280529,52,1295,5165,1139,7353,6460,8492
227,0.02519066,0.02349565,64,374,1841,544,1914,2215,2458
228,0.03285685,0.008359551,134,522,1970,387,3827,2492,4214
229,0.03128946,0.0094838,200,2216,8782,1041,9074,10998,10115
230,0.02479509,0.0227906,258,5047,25240,9880,35837,30287,45717
231,0.03119367,0.009498949,221,5597,22249,3754,32670,27846,36424
232,0.03141764,0.009493108,108,3310,13064,2391,20821,16374,23212
233,0.02195049,0.02088421,78,758,4282,48,190,5040,238
234,0.03046555,0.008647569,162,8237,33526,5065,48419,41763,53484
235,0.03172519,0.008608502,142,8148,31847,4674,44884,39995,49558
236,0.0320446,0.009309396,62,4172,16144,2415,21445,20316,23860
237,0.03193797,0.01133139,104,5797,22507,4188,30553,28304,34741
238,0.02733826,0.01246603,104,3313,15027,3030,20093,18340,23123
239,0.03238174,0.009504942,104,5273,20192,3610,31397,25465,35007
240,0.03037215,0.00806956,177,6446,26317,3832,39256,32763,43088
241,0.0322852,0.0107641,96,3900,14979,2958,22717,18879,25675
242,0.0330172,0.00925895,96,4939,18549,3138,28017,23488,31155
243,0.03126237,0.008957867,89,3515,13942,1712,15799,17457,17511
244,0.03360282,0.01017955,248,13830,51035,8448,68605,64865,77053
245,0.02885905,0.01274259,78,2305,9904,2745,17808,12209,20553
246,0.03329337,0.0119479,104,2526,9408,2319,16045,11934,18364
247,0.03480109,0.03524998,154,3399,12111,7472,17523,15510,24995
248,0.03840976,0.0237953,68,3683,11890,4976,17287,15573,22263
249,0.03453858,0.01256417,248,13738,49322,13481,88699,63060,102180
250,0.03566285,0.01206495,108,6002,20869,6397,43831,26871,50228
251,0.03707893,0.01085201,116,8759,29292,6499,49507,38051,56006
252,0.03707082,0.01179153,64,5682,19006,4399,30840,24688,35239
253,0.03425289,0.00934642,104,7987,28914,5391,47682,36901,53073
254,0.0356752,0.009990284,89,6778,23559,4088,33827,30337,37915
255,0.0367607,0.0108299,125,9548,32207,5695,43471,41755,49166
256,0.03660646,0.01127491,68,7956,26950,5167,37884,34906,43051
257,0.03298223,0.009994941,44,3802,14294,2326,19238,18096,21564
258,0.03318025,0.009623226,78,6894,25764,3908,33571,32658,37479
259,0.03555059,0.01273669,125,6410,22358,4392,28506,28768,32898
260,0.03715491,0.01180063,37,2472,8250,2086,14613,10722,16699
261,0.03235127,0.01275023,104,6123,23469,5195,33682,29592,38877
262,0.03730162,0.01070337,134,8663,28798,4892,37783,37461,42675
263,0.03741608,0.01048545,104,6909,22897,4222,33286,29806,37508
264,0.03600218,0.0114884,61,5326,18344,3552,25559,23670,29111
265,0.03335039,0.01051191,154,7233,26893,5136,40390,34126,45526
266,0.03680359,0.01094169,142,10389,35003,6531,49343,45392,55874
267,0.03436396,0.01215925,184,15964,57605,10336,70271,73569,80607
268,0.0352197,0.01069093,125,8720,30701,5344,41322,39421,46666
269,0.03464032,0.01068979,125,8921,31934,5964,46121,40855,52085
270,0.0345035,0.009793024,68,6005,21581,3557,30026,27586,33583
271,0.03383587,0.009528824,78,6783,24858,4221,36619,31641,40840
272,0.03774463,0.01073625,89,7762,25500,4773,36751,33262,41524
273,0.03294841,0.009764362,104,7170,26984,4359,36904,34154,41263
274,0.03396397,0.009552061,104,9213,33636,5349,46292,42849,51641
275,0.03522533,0.01117522,125,9260,32597,6038,44665,41857,50703
276,0.03485155,0.01098422,108,8870,31559,5761,43357,40429,49118
277,0.03598242,0.0115024,162,11555,39820,7699,55332,51375,63031
278,0.03363282,0.01166501,125,4998,18427,3321,23535,23425,26856
279,0.03559785,0.01040037,68,4326,15069,2618,20809,19395,23427
280,0.0352033,0.01017307,96,8729,30747,5483,44555,39476,50038
281,0.03626352,0.01073818,62,4368,14936,2785,21440,19304,24225
282,0.03642621,0.01107512,89,7339,24983,4718,35216,32322,39934
283,0.03514358,0.009826836,116,10922,38537,6257,52636,49459,58893
284,0.03661309,0.01116131,78,9083,30762,5045,37366,39845,42411
285,0.03630325,0.01156995,116,10554,36049,6699,47864,46603,54563
286,0.03500317,0.01232875,125,9721,34437,7812,52381,44158,60193
287,0.03553251,0.01086062,142,8888,31017,5744,43721,39905,49465
288,0.03637602,0.01655752,61,5046,17201,3971,19826,22247,23797
289,0.03613814,0.01060201,125,13249,45461,8030,62612,58710,70642
290,0.03391335,0.01016163,89,6900,25229,4335,35266,32129,39601
291,0.03451639,0.01056842,89,6130,22022,3647,28527,28152,32174
292,0.03682424,0.01198555,134,14651,49335,10612,73193,63986,83805
293,0.03584305,0.0106597,125,12082,41798,7892,61203,53880,69095
294,0.03692904,0.0106881,68,5070,17024,3137,24263,22094,27400
295,0.03476466,0.01025309,104,9777,34873,6085,49061,44650,55146
296,0.03738463,0.0115477,61,6277,20820,4171,29859,27097,34030
297,0.03559032,0.01092608,68,6821,23765,4599,34796,30586,39395
298,0.03984443,0.01207396,108,12533,39004,8062,55198,51537,63260
299,0.03450875,0.009402407,104,11716,42099,6738,59241,53815,65979
300,0.03630838,0.01102803,89,9533,32557,6451,48357,42090,54808
301,0.03411391,0.01028242,108,9868,35869,5958,47900,45737,53858
302,0.03534267,0.01056709,44,5290,18560,2944,23031,23850,25975
303,0.03489676,0.01044721,116,12730,45234,7477,59164,57964,66641
304,0.0361421,0.01018613,68,4291,14722,3036,24639,19013,27675
305,0.03616849,0.01070907,104,9078,31123,6085,46972,40201,53057
306,0.03558042,0.01139515,61,2544,8866,55,399,11410,454
307,0.03671742,0.01172211,78,6589,22252,5115,36072,28841,41187
308,0.03651269,0.0112986,64,6428,21830,4347,31805,28258,36152
309,0.03697723,0.01137466,68,6706,22488,4357,31665,29194,36022
310,0.036639,0.01108749,104,7883,26679,4813,35885,34562,40698
311,0.04128861,0.01269683,89,5232,15713,4162,27098,20945,31260
312,0.03704766,0.01481393,104,6031,20186,4444,24799,26217,29243
313,0.03832497,0.01222749,89,6064,19620,3941,26644,25684,30585
314,0.03570085,0.01111992,89,7942,27585,4492,33394,35527,37886
315,0.03424145,0.01050372,78,5126,18563,4793,37722,23689,42515
316,0.03814088,0.01137208,89,8148,26490,4204,30560,34638,34764
317,0.03655055,0.01185913,134,14036,47618,9904,69038,61654,78942
318,0.0394552,0.01282428,154,19320,60719,13100,84444,80039,97544
319,0.03751754,0.01058648,64,5116,16909,2368,18491,22025,20859
320,0.03481981,0.0101086,64,6782,24152,4155,33979,30934,38134
321,0.03543115,0.01070857,89,5893,20624,3710,28640,26517,32350
322,0.03677651,0.009880923,61,6435,21697,3803,31817,28132,35620
323,0.0413584,0.02093156,96,12101,36281,13295,52507,48382,65802
324,0.0366409,0.01043231,78,8998,30451,5178,41031,39449,46209
325,0.03801116,0.01211786,134,14836,48398,9741,66452,63234,76193
326,0.03627521,0.01084374,61,5570,19040,3224,24578,24610,27802
327,0.03611961,0.01180572,154,15673,53806,10206,71465,69479,81671
328,0.03621752,0.01259703,64,7122,24384,5217,34236,31506,39453
329,0.03581579,0.01157416,89,7175,24841,4496,32112,32016,36608
330,0.03398904,0.0108758,96,7451,27183,4927,37450,34634,42377
331,0.03359944,0.009483207,184,14034,51793,9631,83955,65827,93586
332,0.03600036,0.01305069,61,6494,22368,4954,31380,28862,36334
333,0.03953254,0.02098234,89,9308,29196,11499,45304,38504,56803
334,0.03751616,0.01265051,125,9576,31651,6118,39979,41227,46097
335,0.02405751,0.004000533,134,7867,40549,2541,52507,48416,55048
336,0.04071582,0.01322493,78,6088,18541,3951,24697,24629,28648
337,0.03855209,0.01113726,104,7804,25101,4634,34396,32905,39030
338,0.03887019,0.01290286,125,7964,25406,6044,38723,33370,44767
339,0.0371843,0.01153564,238,15155,50538,10331,74034,65693,84365
340,0.03529222,0.01078313,104,6545,22996,4516,34621,29541,39137
341,0.03244725,0.008652482,177,14842,56720,8161,77971,71562,86132
342,0.03667298,0.01109233,154,12609,42634,7932,59114,55243,67046
343,0.03850304,0.01107256,162,10017,32260,6042,45109,42277,51151
344,0.03444248,0.007939492,104,8777,31599,4038,42044,40376,46082
345,0.0384557,0.01348528,177,10290,33180,7492,45927,43470,53419
346,0.03684188,0.01028907,154,11738,39507,7961,63962,51245,71923
347,0.034975,0.01035778,125,8449,29955,5138,41007,38404,46145
348,0.03221849,0.008991172,104,6531,25136,3692,33945,31667,37637
349,0.03747513,0.01095231,204,12967,42906,8011,60466,55873,68477
350,0.03659347,0.01055284,142,6359,21548,3804,29799,27907,33603
351,0.0352603,0.01193878,104,7753,27265,5674,39288,35018,44962
352,0.03498178,0.009722764,162,13288,47102,7763,66004,60390,73767
353,0.03698699,0.01148601,104,7449,24973,5351,38512,32422,43863
354,0.03692463,0.01121422,125,8649,29045,5985,44119,37694,50104
355,0.03425463,0.01018883,104,7028,25441,4865,39472,32469,44337
